,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPX-Bern,ORCHIDEE,SDGVM,VISIT-NIES
1945,1.3672827,-0.37350067,0.4687315,-2.8379998,-1.1008254,0.43535346,0.82007533,0.24105847,4.863703,0.4825799,1.1341,5.1995144,4.4559503,-5.044719
1946,1.3809222,0.49575204,0.3898959,-2.9958253,-2.8411145,0.22261144,0.7394291,0.24976094,4.7924547,0.47062844,1.0784659,5.2142963,4.5723667,-5.1479764
1947,1.3335458,0.09412829,0.26624006,-2.7664735,-2.725895,0.45299196,0.783794,0.24428293,4.833986,0.37765387,1.0859485,5.0843124,4.630063,-5.12427
1948,1.4215606,-2.6812255,0.28412062,-3.0001404,-2.4636638,0.26327533,0.8329094,0.2479115,4.8105626,0.3904416,1.1334609,5.087375,4.6172466,-5.1552935
1949,1.257284,1.3192698,0.7096471,-3.0265036,-3.0913656,0.4209536,0.81849766,0.24812639,4.995843,0.20436125,1.1138723,5.126434,4.5859203,-5.324008
1950,1.3603988,2.4824648,0.6496972,-3.0577078,-3.006475,0.27367797,0.89778525,0.2613985,4.8468266,0.47193795,1.1546813,5.1918926,4.660398,-5.294332
1951,1.3606154,3.9232028,0.4204987,-2.8621154,-3.0508273,0.36570463,0.9523797,0.23954397,4.8414683,0.3592767,1.1537962,5.1351748,4.508253,-5.2797966
1952,1.2572008,0.21806678,0.53360265,-3.0816958,-2.9909506,0.26667702,0.7784768,0.25275314,4.8677115,0.49673823,1.167929,5.0125284,4.6163645,-5.1648455
1953,1.2068067,0.8679267,0.6906279,-2.9376497,-1.4020535,0.46043906,0.8368139,0.24628891,5.028426,0.45177343,1.1563505,4.8834643,4.5868173,-5.1804967
1954,1.2624363,1.207307,0.43420166,-2.9286559,-2.501252,0.2084556,0.913738,0.254175,4.890108,0.34697124,1.0648091,5.0894327,4.8351903,-5.296463
1955,1.3916497,1.6581104,0.18191288,-3.1667209,-3.4254766,0.37093982,0.7574228,0.2614025,5.0253625,0.26476553,1.1693876,5.2751436,5.154395,-5.2996593
1956,1.447182,2.0597248,0.50252205,-3.3088286,-2.6514668,0.23438755,0.7246367,0.27750093,5.154455,0.41416568,1.2383112,5.105048,5.1070595,-5.4950495
1957,1.5823122,2.9942,0.35803604,-3.34893,-3.741556,0.3510889,0.84292936,0.28143045,5.0978737,0.46084267,1.260806,5.2140245,4.9964485,-5.593159
1958,1.489979,1.427492,0.48762393,-3.11615,-2.5962145,0.37893024,1.0524998,0.27830726,5.072658,0.4046362,1.218718,5.25788,4.897253,-5.4524364
1959,1.4477073,0.1008717,0.3213579,-3.3148353,-3.1956332,0.37568662,0.8350506,0.267035,5.0705395,0.4983502,1.2533815,5.191012,4.986715,-5.399224
1960,1.3172209,2.3523772,0.52316874,-3.2711658,-2.8939452,0.3787359,0.88872945,0.28732315,5.3607435,0.5691189,1.2778805,5.1394987,5.0209975,-5.509825
1961,1.5744896,1.6753328,0.47908413,-3.2830472,-2.804251,0.3228418,0.9475679,0.27354723,5.2113094,0.40154946,1.244955,5.1295667,5.280795,-5.5677166
1962,1.616583,3.4458628,0.47712052,-3.1921628,-2.581341,0.44361615,0.819442,0.27377433,5.445535,0.42315078,1.2962048,5.2916245,5.6650953,-5.4977736
1963,1.7724532,2.0643613,0.18255249,-3.6106527,-1.9814765,0.46854916,0.8510415,0.28958148,5.484711,0.41222796,1.3798693,5.524535,5.380518,-5.8035955
1964,1.6589113,3.3865438,0.64026976,-3.3641353,-2.7921498,0.36530328,0.9250882,0.28247178,5.639483,0.60980946,1.3459398,5.4138985,5.8088303,-5.647114
1965,1.8189554,1.0017227,0.30289006,-3.4623685,-1.8689656,0.52599156,0.8381296,0.27749088,5.485662,0.41597652,1.386565,5.4591804,5.5126233,-5.752047
1966,1.8906436,0.47264144,0.24819724,-3.7230725,-3.0218053,0.27984104,0.8438269,0.29741216,5.524014,0.42246312,1.3555722,5.530346,5.7794485,-5.8171816
1967,1.8542515,1.7464402,0.14722748,-3.4266982,-3.445109,0.59308046,0.8390667,0.2924844,5.687637,0.25052187,1.3939798,5.4057627,5.9103208,-5.8931723
1968,1.9894089,-0.31634372,0.19830573,-3.7725937,-3.7380416,0.35710257,0.88349473,0.30630523,5.737502,0.24704334,1.470874,5.4211683,5.9997563,-5.7774935
1969,1.8302741,2.0379303,0.6925156,-3.8002243,-3.3244536,0.5596004,0.8732003,0.30362323,6.164356,0.07109461,1.477583,5.472001,6.031684,-5.9837174
1970,2.051634,1.8431408,0.67729485,-3.91516,-2.8965065,0.4232066,0.90016645,0.32741722,6.1302013,0.26013413,1.5401648,5.689435,6.246008,-5.837908
1971,2.1033244,2.9245856,0.39299005,-3.6598787,-3.1681569,0.5716176,0.99878365,0.30244616,6.098993,0.28313172,1.5482394,5.655114,6.1035614,-5.991832
1972,2.173788,3.2475243,0.50523007,-3.9899588,-3.5560448,0.4591781,0.92174906,0.3143802,6.267969,0.17195246,1.5877502,5.5642295,6.296296,-5.9540515
1973,2.085445,2.617741,0.7226234,-3.837881,-2.594192,0.70640135,0.95719737,0.32024947,6.7023377,0.26998228,1.5822486,5.526654,6.2908764,-5.8087373
1974,2.2414982,1.7190194,0.42617574,-3.8844655,-3.2220628,0.469214,0.98300475,0.33154538,6.4670925,0.13089296,1.4550778,5.800577,6.7189226,-5.983679
1975,2.3092062,1.4314535,0.040715024,-4.1710353,-3.1814902,0.6574291,0.9923142,0.33179015,6.608971,0.116426766,1.6019249,6.061058,7.1081033,-6.049024
1976,2.5810554,3.0894375,0.3884479,-4.39499,-4.148664,0.5014187,0.9333289,0.3565219,6.8553224,0.11068557,1.6809506,5.8530173,7.063857,-6.17976
1977,2.6492283,3.380451,0.2839929,-4.4695187,-4.0285444,0.7006313,1.0610929,0.35423824,6.749075,0.32224217,1.7070922,5.928777,6.854899,-6.195392
1978,2.705671,4.180003,0.50575364,-4.188941,-3.5594416,0.7460891,1.1253192,0.35154793,6.788787,0.20500791,1.681875,6.049232,6.777422,-6.197552
1979,2.6519372,2.4923387,0.29939777,-4.4593945,-3.566669,0.79253733,0.98631674,0.35664985,6.822683,0.19416279,1.7359588,5.9815464,6.6258273,-6.0497017
1980,2.68428,2.0033126,0.4283858,-4.412807,-3.5089478,0.8078616,1.071803,0.37732443,7.1551704,0.37943792,1.7355083,5.9194207,6.7438097,-6.287251
